6
Insert(-416.24,Value0)
Insert(212.59,Value97)
Insert(292.94,Value98)
Insert(-28.83,Value99)
Insert(-28.74,Value100)
Insert(244.85,Value101)
Search(301.29)
Search(-3.91,30.96)
Insert(-231.13,Value102)
Insert(46.7,Value103)
Insert(115.3,Value104)
Insert(-220.55,Value105)
Insert(282.81,Value106)
Insert(-489.95,Value107)
Insert(-301.56,Value108)
Insert(-496.57,Value109)
Insert(-422.49,Value110)
Insert(120.92,Value111)
Insert(-320.62,Value112)
Insert(271.42,Value113)
Insert(112.36,Value114)
Insert(200.65,Value115)
Insert(-92.51,Value116)
Insert(-167.77,Value117)
Insert(450.49,Value118)
Insert(-424.83,Value119)
Insert(-244.17,Value120)
Insert(-329.77,Value121)
Insert(225.45,Value122)
Insert(464.83,Value123)
Insert(-305.76,Value124)
Insert(-20.28,Value125)
Insert(-269.42,Value126)
Insert(178.83,Value127)
Insert(-85.51,Value128)
Insert(-463.88,Value129)
Insert(89.44,Value130)
Insert(-461.36,Value131)
Insert(56.49,Value132)
Insert(44.15,Value133)
Insert(-170.19,Value134)
Insert(48.68,Value135)
Insert(105.7,Value136)
Insert(-386.62,Value137)
Insert(-373.35,Value138)
Insert(25.29,Value139)
Insert(82.95,Value140)
Insert(91.27,Value141)
Insert(-53.33,Value142)
Insert(390.23,Value143)
Insert(-276.13,Value144)
Insert(-461.61,Value145)
Insert(-361.94,Value146)
Insert(99.82,Value147)
Insert(-35.98,Value148)
Insert(271.42,Value149)
Insert(-248.43,Value150)
Insert(411.35,Value151)
Insert(-459.1,Value152)
Insert(318.22,Value153)
Insert(-95.91,Value154)
Insert(490.44,Value155)
Insert(-190.36,Value156)
Insert(445.65,Value157)
Insert(298.52,Value158)
Insert(229.81,Value159)
Insert(258.53,Value160)
Insert(-414.62,Value161)
Insert(-372.56,Value162)
Insert(-271.32,Value163)
Insert(39.46,Value164)
Insert(-382.8,Value165)
Insert(-51.74,Value166)
Insert(80.4,Value167)
Insert(37.58,Value168)
Insert(419.85,Value169)
Insert(17.99,Value170)
Insert(-113.16,Value171)
Insert(135.74,Value172)
Insert(442.4,Value173)
Insert(-436.94,Value174)
Insert(364.78,Value175)
Insert(-296.8,Value176)
Insert(-189.27,Value177)
Insert(93.24,Value178)
Insert(141.42,Value179)
Insert(141.23,Value180)
Insert(216.3,Value181)
Insert(313.65,Value182)
Insert(475.61,Value183)
Insert(271.42,Value184)
Insert(106.11,Value185)
Insert(34.58,Value186)
Insert(-432.97,Value187)
Insert(-112.9,Value188)
Insert(468.06,Value189)
Insert(-414.8,Value190)
Insert(-89.84,Value191)
Insert(-130.69,Value192)
Insert(-338.3,Value193)
Insert(-494.98,Value194)
Insert(-75.25,Value195)
Insert(-471.7,Value196)
Insert(-122.62,Value197)
Insert(408.83,Value198)
Insert(-12.82,Value199)
Insert(487.5,Value200)
Insert(377.44,Value201)
Insert(387.83,Value202)
Insert(-415.48,Value203)
Insert(-264.14,Value204)
Insert(-260.5,Value205)
Insert(263.99,Value206)
Insert(-3.84,Value207)
Insert(-41.94,Value208)
Insert(93.55,Value209)
Insert(-100.21,Value210)
Insert(154.24,Value211)
Insert(271.42,Value212)
Insert(54.74,Value213)
Insert(-209.77,Value214)
Insert(-476.24,Value215)
Insert(-117.34,Value216)
Insert(266.48,Value217)
Insert(305.31,Value218)
Insert(280.83,Value219)
Insert(379.95,Value220)
Insert(182.46,Value221)
Insert(-8.95,Value222)
Insert(-478.43,Value223)
Insert(-322.44,Value224)
Insert(-194.12,Value225)
Insert(36.57,Value226)
Insert(-431.56,Value227)
Insert(90.34,Value228)
Search(271.42)
Search(-30.91,60.96)
Insert(-110.74,Value229)
Insert(-276.83,Value230)
Insert(467.29,Value231)
Insert(227.32,Value232)
Insert(269.15,Value233)
Insert(-240.37,Value234)
Insert(-349.87,Value235)
Insert(160.36,Value236)
Insert(6.85,Value237)
Insert(-422.39,Value238)
Insert(-407.87,Value239)
Insert(5.01,Value240)
Insert(98.52,Value241)
Insert(176.13,Value242)
Insert(33.73,Value243)
Insert(-290.61,Value244)
Insert(-202.82,Value245)
Insert(-372.81,Value246)
Insert(371.67,Value247)
Insert(126.99,Value248)
Insert(316.3,Value249)
Insert(-23.53,Value250)
Insert(27.69,Value251)
Insert(-449.91,Value252)
Insert(-346.76,Value253)
Insert(-325.75,Value254)
Insert(36.67,Value255)
Insert(265.29,Value256)
Insert(-486.21,Value257)
Insert(-41.25,Value258)
Insert(-241.93,Value259)
Insert(490.82,Value260)
Insert(46.83,Value261)
Insert(-479.64,Value262)
Insert(-230.1,Value263)
Insert(-426.85,Value264)
Insert(-133.13,Value265)
Insert(-490.51,Value266)
Insert(92.38,Value267)
Insert(-473.55,Value268)
Insert(477.76,Value269)
Insert(-240.63,Value270)
Insert(145.97,Value271)
Insert(128.34,Value272)
Insert(225.7,Value273)
Insert(379.3,Value274)
Insert(-182.98,Value275)
Insert(346.63,Value276)
Insert(167.12,Value277)
Insert(-121.36,Value278)
Insert(-373.45,Value279)
Insert(271.42,Value280)
Insert(266.23,Value281)
Insert(-331.85,Value282)
Insert(-255.0,Value283)
Insert(-160.45,Value284)
Insert(442.23,Value285)
Insert(463.98,Value286)
Insert(-454.65,Value287)
Insert(63.76,Value288)
Insert(390.69,Value289)
Insert(435.08,Value290)
Insert(-425.46,Value291)
Insert(163.23,Value292)
Insert(-464.93,Value293)
Insert(423.85,Value294)
Insert(-491.12,Value295)
Insert(-441.12,Value296)
Insert(-47.96,Value297)
Insert(217.92,Value298)
Insert(-134.69,Value299)
Insert(337.65,Value300)
Insert(-480.64,Value301)
Insert(190.08,Value302)
Insert(273.26,Value303)
Insert(-275.17,Value304)
Insert(-494.33,Value305)
Insert(-472.88,Value306)
Insert(231.59,Value307)
Insert(-400.21,Value308)
Insert(39.42,Value309)
Insert(-226.45,Value310)
Insert(-367.13,Value311)
Insert(-80.3,Value312)
Insert(8.96,Value313)
Insert(35.17,Value314)
Insert(-298.25,Value315)
Insert(-205.25,Value316)
Insert(69.03,Value317)
Insert(352.84,Value318)
Insert(-406.5,Value319)
Insert(-434.97,Value320)
Insert(360.41,Value321)
Insert(23.79,Value322)
Insert(265.05,Value323)
Insert(56.43,Value324)
Insert(-391.01,Value325)
Insert(492.26,Value326)
Insert(95.52,Value327)
Insert(-300.11,Value328)
Insert(195.85,Value329)
Insert(464.22,Value330)
Insert(-117.79,Value331)
Insert(433.22,Value332)
Insert(-38.24,Value333)
Insert(259.91,Value334)
Insert(385.86,Value335)
Insert(-404.51,Value336)
Insert(252.72,Value337)
Insert(359.76,Value338)
Insert(123.5,Value339)
Insert(343.86,Value340)
Insert(-253.62,Value341)
Insert(-361.81,Value342)
Insert(-64.03,Value343)
Insert(-139.11,Value344)
Insert(-400.26,Value345)
Insert(322.46,Value346)
Insert(-37.52,Value347)
Insert(44.73,Value348)
Insert(-311.25,Value349)
Insert(180.41,Value350)
Insert(-80.44,Value351)
Insert(-387.45,Value352)
Insert(55.15,Value353)
Insert(-288.29,Value354)
Insert(67.39,Value355)
Insert(328.94,Value356)
Insert(-100.31,Value357)
Insert(137.55,Value358)
Insert(343.26,Value359)
Insert(-410.18,Value360)
Insert(175.18,Value361)
Insert(-195.2,Value362)
Insert(-396.68,Value363)
Insert(167.38,Value364)
Insert(234.97,Value365)
Insert(-12.34,Value366)
Insert(186.35,Value367)
Insert(117.66,Value368)
Insert(302.69,Value369)
Insert(-497.81,Value370)
Insert(-272.17,Value371)
Insert(-299.98,Value372)
Insert(367.53,Value373)
Insert(-258.75,Value374)
Insert(97.28,Value375)
Insert(33.18,Value376)
Insert(-313.43,Value377)
Insert(371.23,Value378)
Insert(266.7,Value379)
Insert(248.55,Value380)
Insert(434.23,Value381)
Insert(157.73,Value382)
Insert(295.09,Value383)
Insert(126.86,Value384)
Insert(349.86,Value385)
Insert(257.78,Value386)
Insert(140.45,Value387)
Insert(169.86,Value388)
Insert(262.68,Value389)
Insert(-431.83,Value390)
Insert(-394.75,Value391)
Insert(-458.72,Value392)
Insert(-415.06,Value393)
Insert(-172.74,Value394)
Insert(-100.7,Value395)
Insert(57.58,Value396)
Insert(391.19,Value397)
Insert(-371.44,Value398)
Insert(473.91,Value399)
Insert(-97.02,Value400)
Insert(-337.2,Value401)
Insert(269.57,Value402)
Insert(-288.19,Value403)
Insert(254.5,Value404)
Insert(255.83,Value405)
Insert(-390.55,Value406)
Insert(417.46,Value407)
Insert(37.76,Value408)
Insert(-436.68,Value409)
Insert(-62.85,Value410)
Insert(-117.12,Value411)
Insert(-211.75,Value412)
Insert(-330.16,Value413)
Insert(-400.7,Value414)
Insert(-310.84,Value415)
Insert(-142.34,Value416)
Insert(218.66,Value417)
Insert(44.76,Value418)
Insert(-222.1,Value419)
Insert(-68.63,Value420)
Insert(51.41,Value421)
Insert(207.67,Value422)
Insert(-228.26,Value423)
Insert(478.22,Value424)
Insert(228.63,Value425)
Insert(-320.19,Value426)
Insert(-48.35,Value427)
Insert(-384.89,Value428)
Insert(-279.09,Value429)
Insert(289.24,Value430)
Insert(177.32,Value431)
Insert(-170.65,Value432)
Insert(-273.47,Value433)
Insert(224.49,Value434)
Insert(-51.76,Value435)
Insert(265.66,Value436)
Insert(-407.67,Value437)
Insert(117.11,Value438)
Insert(-449.46,Value439)
Insert(-403.71,Value440)
Insert(156.49,Value441)
Insert(-104.06,Value442)
Insert(-481.38,Value443)
Insert(-462.41,Value444)
Insert(113.54,Value445)
Insert(306.05,Value446)
Insert(88.12,Value447)
Insert(339.03,Value448)
Insert(-389.9,Value449)
Insert(335.61,Value450)
Insert(419.57,Value451)
Insert(452.42,Value452)
Insert(339.15,Value453)
Insert(43.58,Value454)
Insert(362.29,Value455)
Insert(-64.75,Value456)
Insert(-376.53,Value457)
Insert(421.81,Value458)
Insert(-16.19,Value459)
Insert(160.98,Value460)
Insert(360.8,Value461)
Insert(-159.21,Value462)
Insert(229.07,Value463)
Insert(202.74,Value464)
Insert(145.91,Value465)
Insert(218.11,Value466)
Insert(358.27,Value467)
Insert(144.17,Value468)
Insert(-345.94,Value469)
Insert(-377.35,Value470)
Insert(-71.77,Value471)
Insert(-202.87,Value472)
Insert(341.36,Value473)
Insert(-45.02,Value474)
Insert(-171.28,Value475)
Insert(-115.1,Value476)
Insert(-189.26,Value477)
Insert(-399.99,Value478)
Insert(-225.64,Value479)
Insert(-406.65,Value480)
Insert(-65.47,Value481)
Insert(5.31,Value482)
Insert(-98.95,Value483)
Insert(442.77,Value484)
Insert(238.53,Value485)
Insert(-27.67,Value486)
Insert(-401.19,Value487)
Insert(269.21,Value488)
Insert(-74.67,Value489)
Insert(134.08,Value490)
Insert(103.22,Value491)
Insert(-450.07,Value492)
Insert(-418.71,Value493)
Insert(205.2,Value494)
Insert(432.15,Value495)
Insert(256.86,Value496)
Insert(-379.32,Value497)
Insert(207.81,Value498)
Insert(212.81,Value499)
Insert(-306.88,Value500)
Insert(82.99,Value501)
Insert(-413.62,Value502)
Insert(-428.71,Value503)
Insert(251.76,Value504)
Insert(-444.99,Value505)
Insert(470.16,Value506)
Insert(64.34,Value507)
Insert(410.52,Value508)
Insert(35.74,Value509)
Insert(223.51,Value510)
Insert(-333.13,Value511)
Insert(-439.94,Value512)
Insert(447.36,Value513)
Insert(-61.14,Value514)
Insert(363.19,Value515)
Insert(212.07,Value516)
Insert(247.93,Value517)
Insert(-28.89,Value518)
Insert(-299.52,Value519)
Insert(146.91,Value520)
Insert(250.36,Value521)
Insert(-485.46,Value522)
Insert(26.18,Value523)
Insert(96.23,Value524)
Insert(380.59,Value525)
Insert(91.45,Value526)
Insert(400.62,Value527)
Insert(395.33,Value528)
Insert(-175.83,Value529)
Insert(-64.39,Value530)
Insert(262.72,Value531)
Insert(16.62,Value532)
Insert(438.5,Value533)
Insert(-205.54,Value534)
Insert(-424.16,Value535)
Insert(-261.89,Value536)
Insert(466.4,Value537)
Insert(-59.66,Value538)
Insert(398.03,Value539)
Insert(402.71,Value540)
Insert(474.91,Value541)
Insert(341.29,Value542)
Insert(-412.95,Value543)
Insert(342.39,Value544)
Insert(183.69,Value545)
Insert(180.83,Value546)
Insert(-277.24,Value547)
Insert(194.74,Value548)
Insert(484.09,Value549)
Insert(-300.42,Value550)
Insert(-48.56,Value551)
Insert(-301.3,Value552)
Insert(433.46,Value553)
Insert(426.96,Value554)
Insert(119.84,Value555)
Insert(-87.5,Value556)
Insert(-74.8,Value557)
Insert(356.83,Value558)
Insert(-59.79,Value559)
Insert(36.65,Value560)
Insert(21.49,Value561)
Insert(-292.32,Value562)
Insert(32.31,Value563)
Insert(-342.36,Value564)
Insert(-178.56,Value565)
Insert(-371.19,Value566)
Insert(-123.23,Value567)
Insert(-185.04,Value568)
Insert(188.44,Value569)
Insert(194.88,Value570)
Insert(-121.57,Value571)
Insert(183.51,Value572)
Insert(-306.15,Value573)
Insert(269.14,Value574)
Insert(119.04,Value575)
Insert(-45.31,Value576)
Insert(360.69,Value577)
Insert(-202.29,Value578)
Insert(13.41,Value579)
Insert(-62.22,Value580)
Insert(-40.4,Value581)
Insert(351.64,Value582)
Insert(400.94,Value583)
Insert(-456.91,Value584)
Insert(-29.22,Value585)
Insert(-324.98,Value586)
Insert(66.22,Value587)
Insert(-249.22,Value588)
Insert(-171.88,Value589)
Insert(271.83,Value590)
Insert(-440.87,Value591)
Insert(-365.49,Value592)
Insert(92.73,Value593)
Insert(475.59,Value594)
Insert(182.17,Value595)
Insert(68.57,Value596)
Insert(52.88,Value597)
Insert(-453.11,Value598)
Insert(34.2,Value599)
Insert(60.73,Value600)
Insert(314.5,Value601)
Insert(-436.94,Value602)
Insert(142.71,Value603)
Insert(-497.88,Value604)
Insert(50.52,Value605)
Insert(283.64,Value606)
Insert(-310.24,Value607)
Insert(469.24,Value608)
Insert(-230.7,Value609)
Insert(397.45,Value610)
Insert(-371.1,Value611)
Insert(-208.75,Value612)
Insert(193.45,Value613)
Insert(198.62,Value614)
Insert(-61.7,Value615)
Insert(-244.48,Value616)
Insert(20.88,Value617)
Insert(16.26,Value618)
Insert(-16.93,Value619)
Insert(364.01,Value620)
Insert(173.93,Value621)
Insert(89.48,Value622)
Insert(50.86,Value623)
Insert(208.01,Value624)
Insert(-281.57,Value625)
Insert(498.81,Value626)
Insert(-471.03,Value627)
Insert(269.77,Value628)
Insert(-245.81,Value629)
Insert(71.17,Value630)
Insert(244.65,Value631)
Insert(212.59,Value632)
Insert(-115.99,Value633)
Insert(173.82,Value634)
Insert(46.2,Value635)
Insert(47.62,Value636)
Insert(-310.59,Value637)
Insert(-34.14,Value638)
Insert(306.16,Value639)
Insert(-377.1,Value640)
Insert(-92.8,Value641)
Insert(-220.16,Value642)
Insert(-86.94,Value643)
Insert(-239.45,Value644)
Insert(391.27,Value645)
Insert(424.29,Value646)
Insert(-125.68,Value647)
Insert(151.26,Value648)
Insert(-110.06,Value649)
Insert(-457.77,Value650)
Insert(72.08,Value651)
Insert(171.04,Value652)
Insert(23.11,Value653)
Insert(-408.26,Value654)
Insert(196.65,Value655)
Insert(-145.48,Value656)
Insert(196.71,Value657)
Insert(-399.64,Value658)
Insert(332.44,Value659)
Insert(395.99,Value660)
Insert(-22.18,Value661)
Insert(347.58,Value662)
Insert(86.17,Value663)
Insert(15.47,Value664)
Insert(421.56,Value665)
Insert(361.6,Value666)
Insert(-451.88,Value667)
Insert(-72.74,Value668)
Insert(280.16,Value669)
Insert(380.02,Value670)
Insert(-126.47,Value671)
Insert(199.48,Value672)
Insert(444.15,Value673)
Insert(-98.19,Value674)
Insert(296.58,Value675)
Insert(363.29,Value676)
Insert(448.08,Value677)
Insert(237.8,Value678)
Insert(-379.34,Value679)
Insert(200.83,Value680)
Insert(194.72,Value681)
Insert(454.02,Value682)
Insert(346.77,Value683)
Insert(13.25,Value684)
Insert(-471.61,Value685)
Insert(477.04,Value686)
Insert(226.99,Value687)
Insert(471.87,Value688)
Insert(338.96,Value689)
Insert(-160.31,Value690)
Insert(266.24,Value691)
Insert(310.72,Value692)
Insert(322.92,Value693)
Insert(308.66,Value694)
Insert(394.19,Value695)
Insert(159.89,Value696)
Insert(-5.91,Value697)
Insert(-447.33,Value698)
Insert(-276.54,Value699)
Insert(-200.67,Value700)
Insert(453.41,Value701)
Insert(291.89,Value702)
Insert(-5.94,Value703)
Insert(-249.21,Value704)
Insert(-424.97,Value705)
Insert(211.26,Value706)
Insert(327.41,Value707)
Insert(-294.9,Value708)
Insert(-102.24,Value709)
Insert(309.15,Value710)
Insert(-460.43,Value711)
Insert(-277.2,Value712)
Insert(-79.32,Value713)
Insert(-99.92,Value714)
Insert(15.06,Value715)
Insert(-69.34,Value716)
Insert(-144.84,Value717)
Insert(-338.86,Value718)
Insert(489.84,Value719)
Insert(-87.74,Value720)
Insert(-453.83,Value721)
Insert(314.9,Value722)
Insert(113.45,Value723)
Insert(-269.24,Value724)
Insert(326.0,Value725)
Insert(-470.9,Value726)
Insert(-93.51,Value727)
Insert(102.38,Value728)
Insert(72.06,Value729)
Insert(-222.71,Value730)
Insert(298.05,Value731)
Insert(-118.28,Value732)
Insert(-397.59,Value733)
Insert(120.61,Value734)
Insert(318.27,Value735)
Insert(313.47,Value736)
Insert(-388.24,Value737)
Insert(-89.42,Value738)
Insert(-43.55,Value739)
Insert(-30.36,Value740)
Insert(-189.22,Value741)
Insert(83.47,Value742)
Insert(-41.63,Value743)
Insert(-304.76,Value744)
Insert(478.0,Value745)
Insert(-130.3,Value746)
Insert(-155.45,Value747)
Insert(94.25,Value748)
Insert(106.43,Value749)
Insert(251.17,Value750)
Insert(-206.24,Value751)
Insert(343.54,Value752)
Insert(-419.96,Value753)
Insert(-38.95,Value754)
Insert(-77.41,Value755)
Insert(-141.31,Value756)
Insert(-499.78,Value757)
Insert(364.61,Value758)
Insert(-224.0,Value759)
Insert(59.12,Value760)
Insert(-317.92,Value761)
Insert(147.05,Value762)
Insert(77.1,Value763)
Insert(136.84,Value764)
Insert(123.88,Value765)
Insert(-195.27,Value766)
Insert(-490.56,Value767)
Insert(-242.82,Value768)
Insert(184.67,Value769)
Insert(187.18,Value770)
Insert(-94.49,Value771)
Insert(315.15,Value772)
Insert(-239.61,Value773)
Insert(479.53,Value774)
Insert(-349.69,Value775)
Insert(478.27,Value776)
Insert(123.03,Value777)
Insert(357.61,Value778)
Insert(229.86,Value779)
Insert(234.35,Value780)
Insert(60.42,Value781)
Insert(-61.42,Value782)
Insert(480.97,Value783)
Insert(164.71,Value784)
Insert(-66.45,Value785)
Insert(200.22,Value786)
Insert(245.94,Value787)
Insert(81.9,Value788)
Insert(-323.23,Value789)
Insert(-34.43,Value790)
Insert(34.61,Value791)
Insert(10.46,Value792)
Insert(-35.42,Value793)
Insert(359.86,Value794)
Insert(135.75,Value795)
Insert(95.29,Value796)
Insert(-232.13,Value797)
Insert(416.0,Value798)
Insert(461.86,Value799)
Insert(389.81,Value800)
Insert(-425.82,Value801)
Insert(-82.89,Value802)
Insert(225.91,Value803)
Insert(126.28,Value804)
Insert(-187.9,Value805)
Insert(-57.01,Value806)
Insert(-97.51,Value807)
Insert(-446.07,Value808)
Insert(-352.61,Value809)
Insert(77.71,Value810)
Insert(-124.09,Value811)
Insert(-366.4,Value812)
Insert(-3.83,Value813)
Insert(-5.07,Value814)
Insert(91.29,Value815)
Insert(-201.52,Value816)
Insert(-327.99,Value817)
Insert(-369.75,Value818)
Insert(270.4,Value819)
Insert(-31.12,Value820)
Insert(-329.89,Value821)
Insert(170.64,Value822)
Insert(-337.21,Value823)
Insert(-469.18,Value824)
Insert(-361.23,Value825)
Insert(-223.14,Value826)
Insert(496.73,Value827)
Insert(341.3,Value828)
Insert(439.39,Value829)
Insert(-176.29,Value830)
Insert(-67.26,Value831)
Insert(-19.81,Value832)
Insert(-408.54,Value833)
Insert(44.35,Value834)
Insert(444.21,Value835)
Insert(471.98,Value836)
Insert(-103.99,Value837)
Insert(-351.51,Value838)
Insert(147.97,Value839)
Insert(-304.6,Value840)
Insert(448.39,Value841)
Insert(-407.62,Value842)
Insert(-366.01,Value843)
Insert(170.08,Value844)
Insert(420.14,Value845)
Insert(482.46,Value846)
Insert(-3.02,Value847)
Insert(311.06,Value848)
Insert(-68.93,Value849)
Insert(492.6,Value850)
Insert(416.98,Value851)
Insert(399.27,Value852)
Insert(-417.81,Value853)
Insert(397.88,Value854)
Insert(395.2,Value855)
Insert(-153.97,Value856)
Insert(-428.68,Value857)
Insert(277.9,Value858)
Insert(-190.19,Value859)
Insert(219.8,Value860)
Insert(100.9,Value861)
Insert(-174.02,Value862)
Insert(441.37,Value863)
Insert(188.84,Value864)
Insert(-69.52,Value865)
Insert(377.94,Value866)
Insert(-301.47,Value867)
Insert(243.98,Value868)
Insert(25.5,Value869)
Insert(-38.31,Value870)
Insert(-201.11,Value871)
Insert(-5.56,Value872)
Insert(-150.41,Value873)
Insert(209.42,Value874)
Insert(488.26,Value875)
Insert(-288.54,Value876)
Insert(11.14,Value877)
Insert(-461.8,Value878)
Insert(-212.03,Value879)
Insert(-291.3,Value880)
Insert(-132.83,Value881)
Insert(-499.87,Value882)
Insert(351.15,Value883)
Insert(-228.56,Value884)
Insert(250.43,Value885)
Insert(144.64,Value886)
Insert(-448.42,Value887)
Insert(281.8,Value888)
Insert(285.61,Value889)
Insert(-153.32,Value890)
Insert(182.25,Value891)
Insert(469.77,Value892)
Insert(-172.86,Value893)
Insert(-149.89,Value894)
Insert(7.8,Value895)
Insert(276.67,Value896)
Insert(473.89,Value897)
Insert(-396.36,Value898)
Insert(239.57,Value899)
Insert(-34.12,Value900)
Insert(480.93,Value901)
Insert(391.69,Value902)
Insert(-380.63,Value903)
Insert(95.19,Value904)
Insert(327.59,Value905)
Insert(-278.42,Value906)
Insert(196.71,Value907)
Insert(412.93,Value908)
Insert(-205.54,Value909)
Insert(-214.23,Value910)
Insert(33.32,Value911)
Insert(-489.64,Value912)
Insert(-209.07,Value913)
Insert(-409.75,Value914)
Insert(-354.87,Value915)
Insert(27.16,Value916)
Insert(121.61,Value917)
Insert(-148.09,Value918)
Insert(-144.72,Value919)
Insert(-280.85,Value920)
Insert(-402.37,Value921)
Insert(-386.41,Value922)
Insert(485.57,Value923)
Insert(412.77,Value924)
Insert(330.46,Value925)
Insert(353.52,Value926)
Insert(0.98,Value927)
Insert(315.2,Value928)
Insert(-195.59,Value929)
Insert(55.74,Value930)
Insert(-187.19,Value931)
Insert(18.47,Value932)
Insert(-262.53,Value933)
Insert(-109.76,Value934)
Insert(438.87,Value935)
Insert(72.64,Value936)
Insert(-61.29,Value937)
Insert(159.9,Value938)
Insert(478.3,Value939)
Insert(62.88,Value940)
Insert(-493.22,Value941)
Insert(215.54,Value942)
Insert(106.26,Value943)
Insert(-268.35,Value944)
Insert(-258.71,Value945)
Insert(123.41,Value946)
Insert(443.63,Value947)
Insert(58.19,Value948)
Insert(440.19,Value949)
Insert(469.46,Value950)
Insert(262.25,Value951)
Insert(-336.29,Value952)
Insert(100.17,Value953)
Insert(-310.38,Value954)
Insert(19.31,Value955)
Insert(-455.07,Value956)
Insert(484.36,Value957)
Insert(331.49,Value958)
Insert(-490.54,Value959)
Insert(445.97,Value960)
Insert(126.66,Value961)
Insert(-308.37,Value962)
Insert(-473.47,Value963)
Insert(287.13,Value964)
Insert(401.39,Value965)
Insert(301.27,Value966)
Insert(-254.02,Value967)
Insert(-100.34,Value968)
Insert(-209.65,Value969)
Insert(27.1,Value970)
Insert(174.82,Value971)
Insert(286.16,Value972)
Insert(-154.53,Value973)
Insert(-383.91,Value974)
Insert(-254.96,Value975)
Insert(136.87,Value976)
Insert(166.26,Value977)
Insert(290.88,Value978)
Insert(162.9,Value979)
Insert(-280.22,Value980)
Insert(156.6,Value981)
Insert(393.19,Value982)
Insert(-349.46,Value983)
Insert(279.5,Value984)
Insert(-363.79,Value985)
Insert(484.84,Value986)
Insert(220.63,Value987)
Insert(7.68,Value988)
Insert(184.82,Value989)
Insert(408.01,Value990)
Insert(88.8,Value991)
Insert(229.69,Value992)
Insert(-264.74,Value993)
Insert(-32.65,Value994)
Insert(-203.72,Value995)
Insert(203.44,Value996)
Insert(-157.7,Value997)
Insert(450.25,Value998)
Insert(163.62,Value999)
Insert(-23.67,Value1000)
Insert(-447.17,Value1001)
Insert(-320.4,Value1002)
Insert(-238.56,Value1003)
Insert(160.73,Value1004)
Insert(-216.88,Value1005)
Insert(-182.32,Value1006)
Insert(-199.35,Value1007)
Insert(398.52,Value1008)
Insert(60.36,Value1009)
Insert(-10.05,Value1010)
Insert(-0.89,Value1011)
Insert(422.52,Value1012)
Insert(-479.72,Value1013)
Insert(-196.54,Value1014)
Insert(259.42,Value1015)
Insert(-338.01,Value1016)
Insert(158.84,Value1017)
Insert(10.51,Value1018)
Insert(13.44,Value1019)
Insert(387.15,Value1020)
Insert(412.58,Value1021)
Insert(-174.07,Value1022)
Insert(-219.17,Value1023)
Insert(-172.04,Value1024)
Insert(-163.73,Value1025)
Insert(-115.95,Value1026)
Insert(14.15,Value1027)
Insert(-246.84,Value1028)
Insert(-153.86,Value1029)
Insert(341.49,Value1030)
Insert(142.77,Value1031)
